learner,n_features,mean_rmsle,sd_rmsle,worst_fold_rmsle,best_fold_rmsle,mean_best_iteration,median_best_iteration,mean_train_seconds,total_train_seconds,mean_predict_seconds,mean_total_seconds,categorical_encoding,rank,delta_vs_best
xgboost,23,0.632945208599987,0.0914471636805927,0.725381508844046,0.542520367320196,2000,2000,17.1754066149394,51.5262198448181,0.288349707921346,17.4637563228607,one-hot station_number,1,0
catboost,23,0.636360775229906,0.0583336729617464,0.685536851031198,0.571909187841073,122.666666666667,167,34.5503741105398,103.651122331619,0.0207726955413818,34.5711468060811,native factor station_number,2,0.00341556662991904
lightgbm,23,0.637954338903817,0.0884104861295425,0.728733408360225,0.55211997175992,197.666666666667,29,94.9288663864136,284.786599159241,0.183751265207926,95.1126176516215,native categorical station_number,3,0.00500913030382966
