config_id,config_source,center_id,eta,max_depth,min_child_weight,subsample,colsample_bytree,gamma,lambda,alpha,signature,n_folds,mean_rmsle,sd_rmsle,worst_fold_rmsle,best_fold_rmsle,median_best_nrounds,mean_elapsed_seconds,rank
random_016,random_search,,0.0264128300577345,8,22.7861425676303,0.799010906834155,0.755163611937314,0,0.241903741491164,0,0.02641283|8|22.78614257|0.79901091|0.75516361|0.00000000|0.24190374|0.00000000,1,0.536167027439758,0,0.536167027439758,0.536167027439758,5000,42.4787700176239,1
random_009,random_search,,0.0262851664654907,8,4.66761682058584,0.915278333611786,0.641145857702941,0.0200119732586479,0.807547018262725,0,0.02628517|8|4.66761682|0.91527833|0.64114586|0.02001197|0.80754702|0.00000000,1,0.536454713711333,0,0.536454713711333,0.536454713711333,5000,38.9066700935364,2
random_006,random_search,,0.0415232495334356,9,1.56779735484401,0.82437919350341,0.682612555846572,0.0096344032242366,0.113050429830976,0.000169494587112688,0.04152325|9|1.56779735|0.82437919|0.68261256|0.00963440|0.11305043|0.00016949,1,0.536901408474685,0,0.536901408474685,0.536901408474685,5000,22.8394458293915,3
random_052,random_search,,0.0760262386761414,8,20.135881673145,0.723105549719185,0.875097074266523,0,19.5028962406913,0,0.07602624|8|20.13588167|0.72310555|0.87509707|0.00000000|19.50289624|0.00000000,1,0.537758779245231,0,0.537758779245231,0.537758779245231,5000,16.9445581436157,4
random_056,random_search,,0.0427418081264625,7,1.25999567914432,0.926032598037273,0.720457009784877,0.0290761458825108,0.515325076869401,0.000722299027143444,0.04274181|7|1.25999568|0.92603260|0.72045701|0.02907615|0.51532508|0.00072230,1,0.538290388329494,0,0.538290388329494,0.538290388329494,5000,28.2789928913116,5
random_004,random_search,,0.0735862272781206,6,1.09504659521962,0.791118388436735,0.903383815009147,0,0.199610775479002,3.24709672462535,0.07358623|6|1.09504660|0.79111839|0.90338382|0.00000000|0.19961078|3.24709672,1,0.539821195093083,0,0.539821195093083,0.539821195093083,5000,14.9364228248596,6
random_030,random_search,,0.0205682498907885,9,2.29318976390311,0.623183424212039,0.758357075322419,0.00188428279863112,0.0757444196004208,0.620820211654028,0.02056825|9|2.29318976|0.62318342|0.75835708|0.00188428|0.07574442|0.62082021,1,0.540784909442941,0,0.540784909442941,0.540784909442941,5000,31.0820798873901,7
random_027,random_search,,0.0587674586932588,7,7.09261912210044,0.914116668514907,0.667224324215204,0.0089420486785707,0.664434377799752,0,0.05876746|7|7.09261912|0.91411667|0.66722432|0.00894205|0.66443438|0.00000000,1,0.541381228226047,0,0.541381228226047,0.541381228226047,5000,27.8304760456085,8
random_038,random_search,,0.0218354219297348,7,37.9802414554101,0.867508606985211,0.767566358763725,0,0.395613680625958,0.0376148244660515,0.02183542|7|37.98024146|0.86750861|0.76756636|0.00000000|0.39561368|0.03761482,1,0.541616812152426,0,0.541616812152426,0.541616812152426,5000,40.9132041931152,9
random_053,random_search,,0.0715014940236985,6,35.9999635359953,0.628195591084659,0.783914077281952,0,4.44712747345938,0,0.07150149|6|35.99996354|0.62819559|0.78391408|0.00000000|4.44712747|0.00000000,1,0.541929057749906,0,0.541929057749906,0.541929057749906,5000,20.9091482162476,10
reference_config,previous_submission_reference,,0.03591504,6,3.99688001,0.87071714,0.6513113,0.01718908,0.31737196,0.00620258,0.03591504|6|3.99688001|0.87071714|0.65131130|0.01718908|0.31737196|0.00620258,1,0.541937524100726,0,0.541937524100726,0.541937524100726,5000,29.1041340827942,11
random_033,random_search,,0.0152864548841765,7,6.14728638237536,0.75583484461531,0.785866376757622,0.0601000363683929,4.79255330551645,0,0.01528645|7|6.14728638|0.75583484|0.78586638|0.06010004|4.79255331|0.00000000,1,0.542288893366421,0,0.542288893366421,0.542288893366421,5000,76.7818789482117,12
random_011,random_search,,0.059714557486268,6,6.06439376387123,0.981789530999959,0.79316095886752,0.00221924396944625,14.8763910922533,0.0361016706178508,0.05971456|6|6.06439376|0.98178953|0.79316096|0.00221924|14.87639109|0.03610167,1,0.542390420641593,0,0.542390420641593,0.542390420641593,5000,27.2236680984497,13
random_017,random_search,,0.0247163320944093,7,2.23477666979153,0.8009198253043,0.741561828739941,0,3.19688553106218,0.07238966551649,0.02471633|7|2.23477667|0.80091983|0.74156183|0.00000000|3.19688553|0.07238967,1,0.542513500392696,0,0.542513500392696,0.542513500392696,5000,50.7422349452973,14
random_034,random_search,,0.102754321544491,8,3.69068493845324,0.942754168063402,0.941505349520594,0,0.331903883328023,1.03290734232778,0.10275432|8|3.69068494|0.94275417|0.94150535|0.00000000|0.33190388|1.03290734,1,0.542598238283851,0,0.542598238283851,0.542598238283851,5000,9.32573914527893,15
random_058,random_search,,0.0822475451847658,8,21.3063750278834,0.814216556679457,0.709818145446479,1.04743756336299,8.39702180190433,0,0.08224755|8|21.30637503|0.81421656|0.70981815|1.04743756|8.39702180|0.00000000,1,0.542774225150492,0,0.542774225150492,0.542774225150492,5000,11.9628720283508,16
random_037,random_search,,0.0459730188686144,9,37.6171580756723,0.755327646061778,0.69169793613255,0.00276486989347987,2.69516192041562,0.00133464804343868,0.04597302|9|37.61715808|0.75532765|0.69169794|0.00276487|2.69516192|0.00133465,1,0.542883329339317,0,0.542883329339317,0.542883329339317,5000,18.4808189868927,17
random_023,random_search,,0.0753259029775249,8,4.52014969583379,0.9283805295825,0.967542939260602,0,0.304702794944288,0.000173108397932527,0.07532590|8|4.52014970|0.92838053|0.96754294|0.00000000|0.30470279|0.00017311,1,0.543202873156297,0,0.543202873156297,0.543202873156297,5000,6.46467900276184,18
random_015,random_search,,0.030746342529607,6,1.03936704134297,0.673539809603244,0.937091727554798,0.80990088718213,0.219367556726256,0.0157455444115254,0.03074634|6|1.03936704|0.67353981|0.93709173|0.80990089|0.21936756|0.01574554,1,0.543250918168069,0,0.543250918168069,0.543250918168069,5000,48.2698481082916,19
random_028,random_search,,0.0708399264438762,9,6.72009949070246,0.830607608519495,0.734532482363284,1.62592698595202,0.461201130718552,2.56973178596382,0.07083993|9|6.72009949|0.83060761|0.73453248|1.62592699|0.46120113|2.56973179,1,0.543607703972562,0,0.543607703972562,0.543607703972562,5000,12.1505298614502,20
random_045,random_search,,0.133879019527538,7,5.84138498625364,0.611197028774768,0.81898378720507,0,3.08153268533673,0,0.13387902|7|5.84138499|0.61119703|0.81898379|0.00000000|3.08153269|0.00000000,1,0.54379067899725,0,0.54379067899725,0.54379067899725,5000,8.86472296714783,21
random_008,random_search,,0.0638722758087615,9,1.00230737137716,0.790126629639417,0.688047554064542,0.867457924840022,0.567750850571841,0.592073731505808,0.06387228|9|1.00230737|0.79012663|0.68804755|0.86745792|0.56775085|0.59207373,1,0.543860973981586,0,0.543860973981586,0.543860973981586,5000,15.725485086441,22
baseline,baseline,,0.03,6,10,0.85,0.85,0,1,0,0.03000000|6|10.00000000|0.85000000|0.85000000|0.00000000|1.00000000|0.00000000,1,0.544155905861571,0,0.544155905861571,0.544155905861571,5000,36.6832349300385,23
random_019,random_search,,0.0508073969424445,6,8.55063877348673,0.935907105915248,0.724979265965521,0.2964591599831,4.64202685540902,0.00726424195567796,0.05080740|6|8.55063877|0.93590711|0.72497927|0.29645916|4.64202686|0.00726424,1,0.544830702119608,0,0.544830702119608,0.544830702119608,5000,34.3662369251251,24
random_048,random_search,,0.110295811983709,8,16.5274432428411,0.658833643421531,0.743222785368562,0.508820595649366,3.71184198236583,0,0.11029581|8|16.52744324|0.65883364|0.74322279|0.50882060|3.71184198|0.00000000,1,0.544964849273424,0,0.544964849273424,0.544964849273424,5000,10.9624350070953,25
random_051,random_search,,0.0995683545764419,6,16.2546168462996,0.864954202622175,0.777810958772898,0,2.76233890959338,0.000294837714117136,0.09956835|6|16.25461685|0.86495420|0.77781096|0.00000000|2.76233891|0.00029484,1,0.545071680214325,0,0.545071680214325,0.545071680214325,5000,22.3805639743805,26
random_049,random_search,,0.0171507475879329,6,26.6660208207415,0.924730966426432,0.899006528872997,0.0196746193586233,0.134690885779859,0,0.01715075|6|26.66602082|0.92473097|0.89900653|0.01967462|0.13469089|0.00000000,1,0.545544342040951,0,0.545544342040951,0.545544342040951,5000,66.1498100757599,27
random_059,random_search,,0.0849574284945853,5,1.35056134812807,0.941745898593217,0.92089528683573,0,0.587544189312995,0.00242256457549318,0.08495743|5|1.35056135|0.94174590|0.92089529|0.00000000|0.58754419|0.00242256,1,0.54600843357547,0,0.54600843357547,0.54600843357547,5000,17.7567210197449,28
random_003,random_search,,0.148033850494683,7,13.6492351437714,0.817626409884542,0.837656808178872,1.95154804584725,0.317906560285577,0.159416793255296,0.14803385|7|13.64923514|0.81762641|0.83765681|1.95154805|0.31790656|0.15941679,1,0.546335095213231,0,0.546335095213231,0.546335095213231,5000,5.57535791397095,29
random_060,random_search,,0.0507931738040548,5,11.6559489503092,0.811956983432174,0.803937159758061,0.00572877961124021,0.0554454949377975,2.75597930591869,0.05079317|5|11.65594895|0.81195698|0.80393716|0.00572878|0.05544549|2.75597931,1,0.546519782564361,0,0.546519782564361,0.546519782564361,5000,38.6961591243744,30
random_026,random_search,,0.0644386775348618,9,14.4803656955468,0.759575929865241,0.987742564454675,0.281768922449484,24.352805338069,0,0.06443868|9|14.48036570|0.75957593|0.98774256|0.28176892|24.35280534|0.00000000,1,0.546906874725215,0,0.546906874725215,0.546906874725215,5000,12.1125738620758,31
random_001,random_search,,0.114579959145114,5,1.18299863908305,0.811242195218802,0.956967617757618,0,1.70192288966819,0.0110888014947704,0.11457996|5|1.18299864|0.81124220|0.95696762|0.00000000|1.70192289|0.01108880,1,0.547259367996013,0,0.547259367996013,0.547259367996013,5000,13.9708590507507,32
