config_id,config_source,center_id,fold_id,phase,status,error_message,valid_rmsle,valid_rmse_log,best_nrounds,elapsed_seconds,train_rows,valid_rows,n_columns,eta,max_depth,min_child_weight,subsample,colsample_bytree,gamma,lambda,alpha
baseline,baseline,,inner_1,baseline,ok,,0.629490009218769,0.629490207514622,5000,13.2850890159607,1142335,157920,257,0.03,6,10,0.85,0.85,0,1,0
local_001,local_refinement,reference_config,inner_1,local_refinement,ok,,0.627722634085782,0.627733104686707,5000,19.9198799133301,1142335,157920,257,0.0225119604272064,6,5.80560066248863,0.81093326321958,0.681363600076932,0.0128123162225128,0.618008768743488,0.0142832251030675
local_002,local_refinement,random_004,inner_1,local_refinement,ok,,0.628503215580233,0.628503215580233,5000,3.67282605171204,1142335,157920,257,0.0733049937187993,7,1.23620241892819,0.775811118632555,0.993300879606977,0.0173746563798348,0.0624696856127421,3.01078631536409
local_003,local_refinement,random_027,inner_1,local_refinement,ok,,0.622677897850857,0.622677897850857,5000,3.95983719825745,1142335,157920,257,0.0788765140582978,8,5.90570941453752,0.98890665108338,0.6,0.0124526976125845,1.89215594348141,0.0127749826252159
local_004,local_refinement,reference_config,inner_1,local_refinement,ok,,0.624525954564949,0.624525954564949,5000,5.97393894195557,1142335,157920,257,0.0227832294486619,7,2.36091895756981,0.788389800201788,0.727464122980657,0.0112167976386891,0.746490756009988,0
local_005,local_refinement,random_004,inner_1,local_refinement,ok,,0.629019928679402,0.629019928679402,5000,6.709312915802,1142335,157920,257,0.0548720234822726,6,1,0.754817306064069,0.838180578360334,0.00274692102788867,0.398127913848003,2.30561011177835
local_006,local_refinement,random_027,inner_1,local_refinement,ok,,0.631710535541829,0.631713954323461,5000,8.32767200469971,1142335,157920,257,0.0627897943314154,6,3.65610095244902,1,0.684012093348429,0.0209148332827923,1.13354509762271,0.000150171760365001
local_007,local_refinement,reference_config,inner_1,local_refinement,ok,,0.627450430727668,0.627450430727668,5000,8.43980813026428,1142335,157920,257,0.0493090869396267,6,5.85508228170317,0.846080423371553,0.6,0.00968556940082627,0.674772367227067,0.0037512103653213
local_008,local_refinement,random_004,inner_1,local_refinement,ok,,0.63026246241347,0.63026246241347,5000,3.42543005943298,1142335,157920,257,0.088519328635039,7,1.50551344073767,0.711934115644544,0.847380450554192,0.180348537035555,0.39469408669667,3.82344611060793
local_009,local_refinement,random_027,inner_1,local_refinement,ok,,0.61771857485034,0.61771857485034,5000,4.81617999076843,1142335,157920,257,0.0733114846549301,8,6.04902097280625,0.832181085366756,0.692373051634058,0.00326540265697943,0.398190560706497,0.102737319820376
local_010,local_refinement,reference_config,inner_1,local_refinement,ok,,0.623281506682986,0.623281506682986,5000,5.94735288619995,1142335,157920,257,0.0499299726682446,7,4.38663051834403,0.918041209216847,0.72280078488757,0.00587159528318717,0.303108498188566,0.0130391641327231
local_011,local_refinement,random_004,inner_1,local_refinement,ok,,0.626892529234511,0.626892529234511,5000,8.41455388069153,1142335,157920,257,0.0924401420022295,6,1.47055971518527,0.73817216004245,0.81837516524829,0.00296144366429696,0.265682278182462,0
local_012,local_refinement,reference_config,inner_1,local_refinement,ok,,0.621627565491085,0.621627565491085,5000,5.61620688438416,1142335,157920,257,0.0422099846390407,7,6.32610815008437,0.94803036417967,0.741840214798051,0.0171676026831164,0.141054863161425,0.0033382159330789
local_013,local_refinement,random_004,inner_1,local_refinement,ok,,0.624335428116609,0.624335428116609,5000,4.32053399085999,1142335,157920,257,0.0457907856450875,7,1.15677965751147,0.719139098422602,0.860126170376316,0.00312663853828611,0.0747491652798138,2.20992760083611
local_014,local_refinement,random_027,inner_1,local_refinement,ok,,0.631090994187928,0.631090994187928,5000,6.73198294639587,1142335,157920,257,0.0764752704120429,6,3.66193824181156,0.986596576450393,0.634141916455701,0.00944027277218028,0.474261469513313,0
local_015,local_refinement,reference_config,inner_1,local_refinement,ok,,0.625305487207571,0.625305487207571,5000,5.43044519424439,1142335,157920,257,0.0319242150312245,7,4.11404896530956,0.902641407439172,0.697183486264023,0.0124977117340595,0.0967215655582092,0
