feature_set,n_features,mean_rmsle,sd_rmsle,worst_fold_rmsle,best_fold_rmsle,mean_best_iteration,median_best_iteration,mean_train_seconds,total_train_seconds,rank,delta_vs_best
C4,46,0.619559574046526,0.087737313742424,0.701983362841714,0.527332235877254,1200,1200,16.0503877003988,48.1511631011963,1,0
C2,30,0.619876788854353,0.0806582406349149,0.689303117717499,0.53139801805812,1200,1200,20.7182629903158,62.1547889709473,2,0.00031721480782676
C3,38,0.621646893989237,0.0967898422317894,0.714780445016783,0.521574232687036,1200,1200,16.4540597597758,49.3621792793274,3,0.00208731994271139
COMPACT_C2_23,23,0.635392288741764,0.0883896597832657,0.72282946523959,0.546079982930368,1200,1200,11.3157213528951,33.9471640586853,4,0.0158327146952382
C5,76,0.642877110835567,0.0816897439679712,0.731612424172766,0.570801199173834,1200,1200,19.7453533013662,59.2360599040985,5,0.0233175367890414
C1,18,0.650031998498743,0.0758165575696774,0.733612021589759,0.585682394607736,1200,1200,25.2377687295278,75.7133061885834,6,0.0304724244522165
C0,10,0.665863270473365,0.0896847056604092,0.768287891913855,0.601412979488992,1200,1200,20.4241444269816,61.2724332809448,7,0.0463036964268386
